"Country","Year","CO2 emissions (metric tons per capita)","Electric power consumption (kWh per capita)","Energy use (kg of oil equivalent per capita)","Fertility rate, total (births per woman)","GNI per capita, Atlas method (current US$)","Internet users (per 1,000 people)","Life expectancy at birth, total (years)","Military expenditure (% of GDP)","Population, total","Prevalence of HIV, total (% of population ages 15-49)"
"New Zealand",2004,0,8936.57,4344.31,2.01,"19610",578.62,79.55,1.03,"4061400",""
"New Zealand",2005,0,0,0,2,"25920",671.89,79.62,1.01,"4098900","0.1"
"Angola",2000,0.48,89.16,572.3,6.81,"4.30E+02",1.08,40.44,2.21,"1.38E+07",""
"Angola",2001,0.5,98.49,585.02,0,"4.70E+02",1.41,0,1.43,"1.42E+07",""
"Angola",2002,0.52,103.09,589.93,6.75,"6.20E+02",2.8,40.7,1.5,"1.46E+07",""
"Angola",2003,0.57,113.45,606.1,0,"7.10E+02",5.58,0,2.13,"1.50E+07","3.7"
"Angola",2004,0,123.82,612.52,0,"9.40E+02",11.1,0,4.14,"1.55E+07",""
"Angola",2005,0,0,0,6.56,"1.41E+03",11.04,41.42,5.04,"1.59E+07","3.68"
"High income: OECD",2000,12.71,9443.35,5461.17,1.66,"2.74E+04",328.4,78.23,2.18,"9.09E+08",""
"High income: OECD",2001,12.68,9317.71,5407.69,1.64,"2.72E+04",390.38,78.45,2.22,"9.15E+08",""
"High income: OECD",2002,12.73,9448.38,5414.13,1.62,"2.70E+04",443.3,78.56,2.36,"9.20E+08",""
"High income: OECD",2003,12.76,9546.92,5423.13,1.46,"2.91E+04",471.94,78.7,2.48,"9.26E+08","0.36"
"High income: OECD",2004,0,9693.51,5495.31,1.66,"3.32E+04",524.85,78.84,2.51,"9.32E+08",""
"High income: OECD",2005,0,0,0,1.66,"3.65E+04",525.36,79.24,2.54,"9.38E+08","0.36"
"Greece",2000,8.27,4539.41,2548.29,1.29,"1.15E+04",91.6,77.99,4.76,"1.09E+07",""
"Greece",2001,8.48,4680.66,2621.38,1.25,"1.12E+04",83.59,77.99,4.5,"1.09E+07",""
"Greece",2002,8.53,4868.24,2642.35,1.27,"1.14E+04",135.18,78.69,4.24,"1.10E+07",""
"Greece",2003,8.73,5044.75,2711.2,1.28,"1.34E+04",155.89,78.84,4.06,"1.10E+07","0.16"
"Greece",2004,0,5148.01,2754.72,1.31,"1.69E+04",176.74,78.94,4.17,"1.11E+07",""
"Greece",2005,0,0,0,1.28,"1.98E+04",180.21,78.99,4.48,"1.11E+07","0.17"
"Maldives",2000,1.72,0,0,4.69,"2010",20.67,65.38,0,"290209",""
"Maldives",2001,3.1,0,0,0,"1990",33.57,0,0,"297916",""
"Maldives",2002,3.37,0,0,4.33,"2020",49.08,66.34,0,"305615",""
"Maldives",2003,1.41,0,0,0,"2160",54.25,0,0,"313352","0.2"
"Maldives",2004,0,0,0,0,"2440",59.15,0,0,"321196",""
"Maldives",2005,0,0,0,4,"2320",0,67.64,0,"329198","0.2"
"Thailand",2000,3.28,1483.76,1213.74,1.94,"1.99E+03",37.44,69.48,1.45,"6.14E+07",""
"Thailand",2001,3.5,1541.69,1260.88,0,"1.95E+03",57.02,0,1.47,"6.20E+07",""
"Thailand",2002,3.68,1655.91,1331.62,1.93,"1.97E+03",76.7,69.75,1.41,"6.26E+07",""
"Thailand",2003,3.89,1751.76,1405.71,0,"2.15E+03",95.5,0,1.31,"6.31E+07","1.35"
"Thailand",2004,0,1864.58,1524.03,0,"2.49E+03",109.45,0,1.19,"6.37E+07",""
"Thailand",2005,0,0,0,1.89,"2.72E+03",110.29,70.9,1.15,"6.42E+07","1.4"
"Ukraine",2000,6.18,2773.43,2643.66,1.1,"7.00E+02",7.12,67.86,3.64,"4.92E+07",""
"Ukraine",2001,6.27,2790.53,2670.43,1.1,"7.30E+02",12.32,68.29,2.86,"4.87E+07",""
"Ukraine",2002,6.35,2844.81,2735.94,1.1,"7.90E+02",18.67,68.28,2.77,"4.82E+07",""
"Ukraine",2003,6.58,2997.85,2949.03,1.2,"9.80E+02",52.29,68.21,2.85,"4.78E+07","1.29"
"Ukraine",2004,0,3151.68,2958.05,1.2,"1.27E+03",79.05,68.19,2.6,"4.74E+07",""
"Ukraine",2005,0,0,0,1.2,"1.54E+03",96.87,67.96,2.36,"4.71E+07","1.4"
"Middle income",2000,3.02,1465.51,1234.39,2.21,"1.72E+03",24.27,69.11,2.03,"2.93E+09",""
"Middle income",2001,3.09,1504,1238.01,0,"1.74E+03",35.27,0,2.14,"2.95E+09",""
"Middle income",2002,3.28,1570.37,1270.77,2.17,"1.77E+03",55.26,69.49,2.16,"2.98E+09",""
"Middle income",2003,3.51,1690.14,1345.25,0,"1.93E+03",72.79,0,2.14,"3.01E+09","0.61"
"Middle income",2004,0,1816.97,1436.97,0,"2.26E+03",90.11,0,2.06,"3.03E+09",""
"Middle income",2005,0,0,0,2.1,"2.64E+03",114.3,70.42,1.98,"3.06E+09","0.63"
"Brunei",2000,17.19,7539.07,7623.03,2.58,"",89.97,76.17,6.52,"333463",""
"Brunei",2001,16.06,6654.77,6944.75,0,"",102.52,0,7.32,"341409",""
"Brunei",2002,15.06,6756.39,6659.09,2.5,"",127.77,76.49,6.62,"349447",""
"Brunei",2003,12.72,6840.94,7495.39,0,"",160.71,0,0,"357553","0.1"
"Brunei",2004,0,7615.8,7369.69,0,"",276.62,0,0,"365687",""
"Brunei",2005,0,0,0,2.38,"",0,76.97,0,"373819","0.1"
"Tonga",2000,1.21,0,0,3.73,"1560",23.95,71.72,0,"100190",""
"Tonga",2001,1.05,0,0,0,"1460",27.8,0,0,"100732",""
"Tonga",2002,1.05,0,0,3.54,"1440",28.65,72.11,0,"101205",""
"Tonga",2003,1.12,0,0,0,"1520",29.52,0,0,"101617",""
"Tonga",2004,0,0,0,0,"1750",29.42,0,0,"101982",""
"Tonga",2005,0,0,0,3.31,"1970",29.32,72.65,0,"102311",""
"Iraq",2000,2.91,1164,1037.82,0,"",0,0,0,"",""
"Iraq",2001,3.19,1169.25,1144.1,0,"",0.49,0,0,"",""
"Iraq",2002,3.33,1199.06,1178.6,0,"",0.95,0,0,"",""
"Iraq",2003,2.71,991.87,965.17,0,"",1.12,0,0,"","0.2"
"Iraq",2004,0,1150.72,1083.49,0,"",1.31,0,0,"",""
"Iraq",2005,0,0,0,0,"",0,0,0,"","0.2"
"Italy",2000,7.51,5299.27,3033.03,1.24,"2.09E+04",231.79,79.52,2.04,"5.69E+07",""
"Italy",2001,7.52,5405.87,3046.59,1.26,"2.02E+04",273.78,79.68,1.97,"5.70E+07",""
"Italy",2002,7.56,5530.19,3035.41,1.26,"1.98E+04",346.41,79.78,2,"5.72E+07",""
"Italy",2003,7.73,5623.9,3146.53,1.28,"2.22E+04",397.19,79.64,2.01,"5.76E+07","0.5"
"Italy",2004,0,5640.09,3170.76,1.33,"2.67E+04",467.04,80.65,1.98,"5.82E+07",""
"Italy",2005,0,0,0,1.32,"3.03E+04",477.76,80.33,1.77,"5.86E+07","0.5"
"Moldova",2000,1.58,871.08,692.33,1.3,"370",12.69,67.91,0.4,"4145437",""
"Moldova",2001,1.73,982.1,768.61,0,"400",14.67,68.06,0.4,"4089202",""
"Moldova",2002,1.67,1046.92,744.9,1.28,"460",37.2,67.67,0.42,"4032768",""
"Moldova",2003,1.82,1240.2,837.69,0,"570",72.41,67.86,0.4,"3977596","0.87"
"Moldova",2004,0,1319.18,862.13,1.26,"730",103.44,0,0.35,"3925170",""
"Moldova",2005,0,0,0,1.27,"960",0,68.26,0.31,"3876661","1.05"
"High income",2000,12.7,9266.9,5419.76,1.72,"2.63E+04",316.27,77.99,2.3,"9.88E+08",""
"High income",2001,12.68,9160.32,5379.02,0,"2.62E+04",377.75,0,2.34,"9.95E+08",""
"High income",2002,12.74,9297.75,5396.62,1.68,"2.59E+04",430.89,78.33,2.46,"1.00E+09",""
"High income",2003,12.79,9416.16,5415.34,0,"2.80E+04",459.78,0,2.56,"1.01E+09","0.35"
"High income",2004,0,9562.99,5502.35,0,"3.18E+04",510.21,0,2.59,"1.02E+09",""
"High income",2005,0,0,0,1.71,"3.50E+04",523.43,79,2.61,"1.02E+09","0.35"
"Papua New Guinea",2000,0.46,0,0,4.32,"650",8.49,54.66,0.89,"5298867",""
"Papua New Guinea",2001,0.46,0,0,0,"580",9.23,0,0.82,"5419232",""
"Papua New Guinea",2002,0.45,0,0,4.1,"520",13.54,55.22,0.57,"5538159",""
"Papua New Guinea",2003,0.44,0,0,0,"510",18.57,0,0.55,"5655675","1.59"
"Papua New Guinea",2004,0,0,0,0,"590",20.79,0,0.62,"5771947",""
"Papua New Guinea",2005,0,0,0,3.8,"700",22.93,56.39,0.53,"5887138","1.76"
"Guinea",2000,0.16,0,0,0,"410",0.98,52.86,1.48,"8202628",""
"Guinea",2001,0.15,0,0,0,"380",1.79,0,2.89,"8358572",""
"Guinea",2002,0.16,0,0,5.9,"370",4.11,53.61,2.92,"8513599",""
"Guinea",2003,0.15,0,0,0,"390",4.61,0,0,"8670641","1.56"
"Guinea",2004,0,0,0,5.7,"440",5.21,0,0,"8832767",""
"Guinea",2005,0,0,0,5.6,"440",5.55,54.05,0,"9002656","1.52"
"Cyprus",2000,9.25,4585.01,3494.24,1.64,"13280",172.91,78.14,2.08,"694000",""
"Cyprus",2001,9.17,4729.86,3496.79,1.57,"13170",213.83,78.49,2.33,"701500",""
"Cyprus",2002,9.19,5093.62,3473.18,1.49,"13240",295.65,78.82,1.57,"710300",""
"Cyprus",2003,10.07,5375.3,3703.91,1.5,"15160",345.9,79.15,1.48,"722750","0.2"
"Cyprus",2004,0,6046.23,3534.74,1.49,"18430",402.81,0,1.48,"739800",""
"Cyprus",2005,0,0,0,1.42,"",430.19,79.29,0,"757800","0.2"
"Denmark",2000,8.66,6484.31,3621.84,1.77,"31850",391.58,76.75,1.49,"5337344",""
"Denmark",2001,8.95,6493.83,3714.23,1.75,"30640",429.5,76.94,1.57,"5355082",""
"Denmark",2002,8.85,6534.67,3642.74,1.72,"30070",0,77.09,1.55,"5374255",""
"Denmark",2003,10.11,6605.32,3839.86,1.76,"34090",460.54,77.44,1.5,"5387174","0.2"
"Denmark",2004,0,6631.15,3716.41,1.78,"41280",504.52,77.49,1.46,"5401177",""
"Denmark",2005,0,0,0,1.8,"48330",526.96,77.84,1.37,"5415978","0.22"
"Kuwait",2000,32.22,13377.63,9341.55,2.57,"16790",68.49,76.89,7.15,"2190000",""
"Kuwait",2001,29.61,13650.99,8516.04,0,"17320",87.91,0,7.7,"2275000",""
"Kuwait",2002,28.24,14087,8124.48,2.52,"17590",107.07,77.22,7.46,"2334919",""
"Kuwait",2003,32.74,14807.94,9563.03,2.52,"20050",236.6,0,7.9,"2396417","0.2"
"Kuwait",2004,0,14954.87,10211.69,2.46,"24540",243.95,77.32,7.39,"2459534",""
"Kuwait",2005,0,0,0,2.39,"30630",276.09,77.54,5.74,"2535446","0.2"
"Ghana",2000,0.31,305.78,397.04,4.56,"3.20E+02",1.51,56.72,1.02,"1.99E+07",""
"Ghana",2001,0.34,338.03,402.68,0,"2.90E+02",1.97,0,0.61,"2.03E+07",""
"Ghana",2002,0.35,292.8,401.81,4.39,"2.60E+02",8.19,56.65,0.61,"2.08E+07",""
"Ghana",2003,0.36,247.64,400.2,0,"3.10E+02",11.79,0,0.66,"2.12E+07","2.2"
"Ghana",2004,0,247.04,385.61,0,"3.80E+02",16.99,0,0.8,"2.17E+07",""
"Ghana",2005,0,0,0,4.06,"4.50E+02",18.15,57.48,0.75,"2.21E+07","2.27"
"Pakistan",2000,0.77,373.54,463.15,4.68,"4.90E+02",2.17,62.96,4.05,"1.38E+08",""
"Pakistan",2001,0.74,378.59,461.4,0,"4.90E+02",3.53,0,4.08,"1.41E+08",""
"Pakistan",2002,0.77,384.14,456.96,4.5,"4.90E+02",6.9,63.82,4.28,"1.45E+08",""
"Pakistan",2003,0.77,407.78,466.91,4.5,"5.20E+02",53.89,64.98,4.31,"1.48E+08","0.07"
"Pakistan",2004,0,425.03,489.09,4.31,"6.00E+02",65.76,64.92,3.88,"1.52E+08",""
"Pakistan",2005,0,0,0,4.12,"6.90E+02",67.41,64.86,3.34,"1.56E+08","0.1"
"Gabon",2000,1.15,849.78,1212.17,4.21,"2990",11.79,56.04,0,"1272094",""
"Gabon",2001,1.51,875.77,1243.5,0,"3220",13.11,0,1.91,"1297141",""
"Gabon",2002,1.27,907.61,1249.29,4.02,"3330",18.94,54.58,1.92,"1319952",""
"Gabon",2003,0.91,922.23,1248.03,0,"3520",26.09,0,1.79,"1341309","7.74"
"Gabon",2004,0,927.82,1242.72,0,"3920",29.36,0,1.63,"1362331",""
"Gabon",2005,0,0,0,3.73,"4390",48.42,53.83,1.33,"1383841","7.88"
"Least developed countries: UN classification",2000,0.16,88.73,285.43,5.07,"2.71E+02",1.12,51.18,2.55,"6.67E+08",""
"Least developed countries: UN classification",2001,0.17,100.72,292.8,0,"2.72E+02",1.9,0,2.28,"6.83E+08",""
"Least developed countries: UN classification",2002,0.18,110.64,299.06,4.95,"2.77E+02",2.92,51.58,2.39,"6.99E+08",""
"Least developed countries: UN classification",2003,0.18,115.77,306.27,0,"2.96E+02",4.97,0,2.19,"7.16E+08","2.78"
"Least developed countries: UN classification",2004,0,122.02,313.59,0,"3.39E+02",7.28,0,2.26,"7.34E+08",""
"Least developed countries: UN classification",2005,0,0,0,4.79,"3.89E+02",11.19,52.49,0,"7.51E+08","2.6"
"Bahamas, The",2000,5.95,0,0,2.34,"15380",43.56,68.75,0.64,"301438",""
"Bahamas, The",2001,5.87,0,0,0,"15390",55.34,0,0.58,"305793",""
"Bahamas, The",2002,6.71,0,0,2.3,"15800",193.47,69.4,0.56,"310129",""
"Bahamas, The",2003,5.94,0,0,2.3,"",267.13,0,0.6,"314451","2.88"
"Bahamas, The",2004,0,0,0,2.27,"",291.75,70.42,0.66,"318762",""
"Bahamas, The",2005,0,0,0,2.25,"",318.82,70.96,0.65,"323063","3.27"
"Armenia",2000,1.12,1292.34,672.29,1.7,"660",12.98,72.45,3.56,"3082000",""
"Armenia",2001,1.15,1263.41,673.47,0,"710",16.31,0,3.13,"3064725",""
"Armenia",2002,0.98,1229.86,631.82,1.33,"800",19.67,72.8,2.7,"3049943",""
"Armenia",2003,1.13,1312.07,659.82,0,"950",46.1,0,2.73,"3037193","0.13"
"Armenia",2004,0,1428.25,703.55,1.38,"1140",49.57,0,2.6,"3026089",""
"Armenia",2005,0,0,0,1.37,"1470",53.38,73.33,2.72,"3016312","0.15"
"Equatorial Guinea",2000,0.38,0,0,5.89,"1480",1.56,44.27,0,"448844",""
"Equatorial Guinea",2001,0.35,0,0,0,"1670",1.96,0,0,"459467",""
"Equatorial Guinea",2002,0.36,0,0,5.89,"2820",3.83,43.45,0,"470228",""
"Equatorial Guinea",2003,0.34,0,0,0,"2340",6.24,0,0,"481141","3.23"
"Equatorial Guinea",2004,0,0,0,0,"3200",10.16,0,0,"492233",""
"Equatorial Guinea",2005,0,0,0,5.89,"5410",13.9,42.28,0,"503519","3.2"
"Croatia",2000,4.44,2792.23,1726.6,1.39,"4380",66.49,73.8,2.96,"4502500",""
"Croatia",2001,4.73,2881.01,1785.94,1.27,"4390",116.65,0,2.62,"4440800",""
"Croatia",2002,4.98,3079.8,1850.49,1.34,"4650",177.58,74.66,2.4,"4443150",""
"Croatia",2003,5.36,3144.98,1976.36,1.33,"5490",228.28,74.81,2.06,"4442000",""
"Croatia",2004,0,3315.89,1985.21,1.35,"7010",298.84,75.41,1.67,"4442850",""
"Croatia",2005,0,0,0,1.42,"8350",326.58,75.67,1.58,"4443350","0.1"
"Cameroon",2000,0.23,183.02,428.64,5.05,"6.60E+02",2.69,46.97,1.32,"1.49E+07",""
"Cameroon",2001,0.22,173.65,426.4,0,"6.60E+02",2.97,0,1.29,"1.52E+07",""
"Cameroon",2002,0.22,164.16,425.05,5.02,"6.40E+02",3.88,45.8,1.34,"1.55E+07",""
"Cameroon",2003,0.22,178.24,434.14,5,"7.20E+02",6.35,0,1.38,"1.57E+07","5.51"
"Cameroon",2004,0,207.01,433.29,5,"8.80E+02",10.6,0,1.4,"1.60E+07","5.5"
"Cameroon",2005,0,0,0,5,"1.00E+03",15.32,46.06,1.32,"1.63E+07","5.43"
"Cote d'Ivoire",2000,0.35,171.08,409.68,5.28,"6.50E+02",2.39,46.63,0,"1.67E+07",""
"Cote d'Ivoire",2001,0.33,180.11,386.37,0,"6.00E+02",4.11,0,0,"1.71E+07",""
"Cote d'Ivoire",2002,0.41,175.58,406.43,5.06,"5.70E+02",5.19,46.02,0,"1.73E+07",""
"Cote d'Ivoire",2003,0.32,174.34,378.78,0,"6.30E+02",7.95,0,1.55,"1.76E+07","7.01"
"Cote d'Ivoire",2004,0,176.09,387.59,0,"7.60E+02",8.95,0,0,"1.79E+07",""
"Cote d'Ivoire",2005,0,0,0,4.7,"8.40E+02",11.02,46.18,0,"1.82E+07","7.06"
"Zimbabwe",2000,1.17,847,795.71,3.76,"4.60E+02",3.97,39.84,4.67,"1.26E+07",""
"Zimbabwe",2001,1.07,818.88,772.89,0,"5.40E+02",7.88,0,2.87,"1.27E+07",""
"Zimbabwe",2002,0.99,821.24,765.47,3.56,"7.80E+02",39.11,37.21,2.85,"1.28E+07",""
"Zimbabwe",2003,0.89,819.4,743.83,0,"7.70E+02",62.19,0,2.39,"1.29E+07","22.11"
"Zimbabwe",2004,0,795.13,718.98,0,"5.70E+02",63.39,0,3.41,"1.29E+07",""
"Zimbabwe",2005,0,0,0,3.34,"3.40E+02",76.87,37.26,0,"1.30E+07","20.12"
"Sweden",2000,5.24,15687.11,5492.39,1.54,"28870",456.42,79.65,2.01,"8869000",""
"Sweden",2001,5.38,16024.62,5814.71,1.57,"26950",517.2,79.75,1.86,"8894000",""
"Sweden",2002,6.18,15711.12,5909.01,1.65,"26410",574.29,79.85,1.79,"8924000",""
"Sweden",2003,5.88,15364,5773.78,1.71,"29520",631.42,80.11,1.74,"8956000","0.2"
"Sweden",2004,0,15423.72,5998.34,1.75,"35740",756.23,80.5,1.57,"8991994",""
"Sweden",2005,0,0,0,1.77,"40910",763.52,80.55,1.56,"9024040","0.19"
"Estonia",2000,11.68,4632.3,3307.02,1.34,"4120",285.94,70.87,1.39,"1369513",""
"Estonia",2001,12.02,4765.79,3446.97,1.34,"4340",314.97,70.51,1.52,"1364098",""
"Estonia",2002,11.73,4838.66,3329.06,1.37,"4750",326.8,71.06,1.67,"1358641",""
"Estonia",2003,13.47,5224.16,3638.66,1.37,"5740",443.29,71.32,1.79,"1353520","1.14"
"Estonia",2004,0,5484.07,3835.44,1.47,"7450",496.66,71.87,1.76,"1348999",""
"Estonia",2005,0,0,0,1.5,"9530",512.59,72.57,1.48,"1346100","1.32"
"Nigeria",2000,0.37,73,715.48,0,"2.70E+02",0.64,0,0.8,"1.25E+08",""
"Nigeria",2001,0.38,74.01,720.31,0,"3.10E+02",0.9,0,1.19,"1.28E+08",""
"Nigeria",2002,0.41,101.67,727.51,5.7,"3.10E+02",3.2,46.58,1.92,"1.31E+08",""
"Nigeria",2003,0.39,99.43,726.46,0,"3.60E+02",5.57,0,1.09,"1.35E+08","3.74"
"Nigeria",2004,0,97.21,717.31,0,"4.00E+02",12.82,0,0.89,"1.38E+08",""
"Nigeria",2005,0,0,0,0,"5.20E+02",35.37,0,0.88,"1.41E+08","3.86"
"Mayotte",2000,0,0,0,0,"",0,0,0,"",""
"Mayotte",2001,0,0,0,0,"",0,0,0,"",""
"Mayotte",2002,0,0,0,0,"",0,0,0,"",""
"Mayotte",2003,0,0,0,0,"",0,0,0,"166000",""
"Mayotte",2004,0,0,0,0,"",0,0,0,"172000",""
"Mayotte",2005,0,0,0,0,"",0,0,0,"180000",""
"European Monetary Union",2000,7.96,6417.85,3844.64,1.47,"2.22E+04",230.55,78.46,1.81,"3.05E+08",""
"European Monetary Union",2001,8.1,6566.28,3924.9,0,"2.12E+04",279.3,0,1.76,"3.06E+08",""
"European Monetary Union",2002,8.1,6602.26,3895.75,1.46,"2.07E+04",314.71,78.82,1.76,"3.08E+08",""
"European Monetary Union",2003,8.18,6747.75,3960.79,0,"2.33E+04",363.85,0,1.77,"3.10E+08","0.35"
"European Monetary Union",2004,0,6868.88,3989.64,0,"2.81E+04",411.86,0,1.76,"3.12E+08",""
"European Monetary Union",2005,0,0,0,1.5,"3.21E+04",439.4,79.69,1.69,"3.14E+08","0.34"
"Bolivia",2000,1.18,420.96,594.35,4.01,"1000",14.43,63.11,1.8,"8316648",""
"Bolivia",2001,1.08,412.1,517.19,0,"960",21.21,0,2.26,"8488241",""
"Bolivia",2002,1.05,421.76,497.61,3.8,"930",31.17,63.84,2.14,"8661336",""
"Bolivia",2003,0.89,421.83,503.78,3.8,"920",35.09,0,2.22,"8835246","0.13"
"Bolivia",2004,0,435.12,552.56,0,"960",44.4,0,2.03,"9009045",""
"Bolivia",2005,0,0,0,3.65,"1020",52.28,64.85,1.87,"9182015","0.13"
"Congo, Rep.",2000,0.3,110.54,246.96,0,"510",0.23,51.42,0,"3437797",""
"Congo, Rep.",2001,0.35,117,262.19,0,"570",0.28,0,0,"3546997",""
"Congo, Rep.",2002,0.29,132.61,248.54,0,"620",1.37,51.82,0,"3657416",""
"Congo, Rep.",2003,0.37,121.51,272.73,4.8,"650",3.98,0,1.37,"3769271","5.44"
"Congo, Rep.",2004,0,131.09,273.76,0,"750",9.27,0,0,"3882947",""
"Congo, Rep.",2005,0,0,0,5.6,"950",12.5,52.81,0,"3998904","5.27"
"Solomon Islands",2000,0.39,0,0,4.53,"680",4.78,61.8,0,"418733",""
"Solomon Islands",2001,0.4,0,0,0,"620",4.65,0,0,"430324",""
"Solomon Islands",2002,0.39,0,0,4.33,"550",4.98,62.22,0,"442052",""
"Solomon Islands",2003,0.4,0,0,0,"550",5.51,0,0,"453886",""
"Solomon Islands",2004,0,0,0,0,"590",6.44,0,0,"465793",""
"Solomon Islands",2005,0,0,0,4,"620",8.37,62.94,0,"477742",""
"Liberia",2000,0.14,0,0,6.8,"130",0.16,42.23,0,"3065441",""
"Liberia",2001,0.15,0,0,0,"130",0.32,0,7.54,"3160769",""
"Liberia",2002,0.15,0,0,6.8,"140",0,42.44,7.5,"3206295",""
"Liberia",2003,0.14,0,0,0,"110",0,0,0,"3222484",""
"Liberia",2004,0,0,0,0,"110",0,0,0,"3240578",""
"Liberia",2005,0,0,0,6.78,"120",0,42.47,0,"3283267",""
"Turkmenistan",2000,7.91,1697.64,3214.69,2.87,"650",1.33,62.59,0,"4502140",""
"Turkmenistan",2001,8.68,1769.8,3305.17,0,"",1.75,0,0,"4564367",""
"Turkmenistan",2002,9.08,1760.08,3311.73,2.76,"",0,62.39,0,"4629911",""
"Turkmenistan",2003,9.22,1750.19,3646.63,0,"",4.26,0,0,"4697763",""
"Turkmenistan",2004,0,1740.45,3264.79,0,"",7.55,0,0,"4766009",""
"Turkmenistan",2005,0,0,0,2.6,"",0,62.86,0,"4833266","0.1"
"Kenya",2000,0.34,111.9,489.97,5,"4.30E+02",3.26,48.43,1.3,"3.07E+07",""
"Kenya",2001,0.29,122.37,479.82,0,"4.10E+02",6.38,0,1.5,"3.14E+07",""
"Kenya",2002,0.25,128.65,469.01,5,"4.00E+02",12.48,47.06,1.66,"3.20E+07",""
"Kenya",2003,0.27,134.75,481.25,0,"4.20E+02",30.55,0,1.68,"3.27E+07","6.7"
"Kenya",2004,0,139.96,505.57,0,"4.70E+02",31.52,0,1.58,"3.35E+07",""
"Kenya",2005,0,0,0,4.98,"5.40E+02",32.43,48.99,1.42,"3.43E+07","6.09"
"French Polynesia",2000,2.73,0,0,2.47,"16070",63.53,72.66,0,"236124",""
"French Polynesia",2001,2.27,0,0,0,"",62.43,0,0,"240280",""
"French Polynesia",2002,2.86,0,0,2.39,"",81.81,73.14,0,"244466",""
"French Polynesia",2003,2.78,0,0,0,"",140.77,0,0,"248629",""
"French Polynesia",2004,0,0,0,0,"",178.08,0,0,"252692",""
"French Polynesia",2005,0,0,0,2.31,"",214.34,73.76,0,"256603",""
"Peru",2000,1.05,679.21,482.73,3,"2.06E+03",30.83,69.22,1.73,"2.60E+07",""
"Peru",2001,1,703.4,459.51,0,"1.98E+03",75.87,0,1.84,"2.64E+07",""
"Peru",2002,0.97,736.36,449.28,2.86,"2.04E+03",89.68,69.82,1.24,"2.68E+07",""
"Peru",2003,0.96,758.68,431.49,0,"2.17E+03",104.93,0,1.26,"2.72E+07","0.53"
"Peru",2004,0,794.42,478.84,0,"2.39E+03",116.83,0,1.18,"2.76E+07",""
"Peru",2005,0,0,0,0,"2.64E+03",164.47,70.66,1.25,"2.80E+07","0.57"
"Dominica",2000,1.44,0,0,1.9,"3300",84.12,76.34,0,"71326",""
"Dominica",2001,1.55,0,0,0,"3380",126.62,0,0,"71079",""
"Dominica",2002,1.7,0,0,1.9,"3220",175.86,76.6,0,"71079",""
"Dominica",2003,1.95,0,0,1.9,"3440",224.68,0,0,"71212.83",""
"Dominica",2004,0,0,0,0,"3800",286.83,0,0,"71471",""
"Dominica",2005,0,0,0,0,"3840",361.11,0,0,"72000",""
"Malawi",2000,0.07,0,0,6.23,"1.50E+02",1.3,40.44,0.67,"1.15E+07",""
"Malawi",2001,0.07,0,0,0,"1.40E+02",1.7,0,0.74,"1.18E+07",""
"Malawi",2002,0.07,0,0,6.1,"1.40E+02",2.24,39.63,0.77,"1.21E+07",""
"Malawi",2003,0.07,0,0,0,"1.50E+02",2.92,0,0.74,"1.23E+07","14.18"
"Malawi",2004,0,0,0,0,"1.60E+02",3.66,0,0,"1.26E+07",""
"Malawi",2005,0,0,0,5.84,"1.60E+02",4.07,40.52,0,"1.29E+07","14.09"
"Tunisia",2000,2.06,991.27,793.64,2.08,"2090",27.19,72.6,1.71,"9563500",""
"Tunisia",2001,2.12,1048.21,825.65,2.05,"2060",42.38,72.85,1.68,"9673600",""
"Tunisia",2002,2.13,1075.86,822.03,2,"2000",51.68,73,1.64,"9781900",""
"Tunisia",2003,2.12,1118.11,837.42,2.06,"2260",64.03,73.05,1.63,"9839800","0.07"
"Tunisia",2004,0,1157.42,876.22,2.02,"2650",84.07,73.3,1.54,"9932400",""
